Count,Number,GSL_24,ROST.LEN_26,LACR.W_30,POSTORB.W_32,MASTOID_34,C1.C1_37,M3.M3_38,GLENO.L_44,MAX.TOOTH_h,DEN.L_46,LOW.TR_49,MOM1.COR_52,MOM2.ANG_53,DEN.TH_57,CON.L_60,MASS.MUSC_c,Locality,Sex
1,244925,18.37,6.53,6.67,4.14,9.41,3.03,3.87,1.59,6.52,13.98,6.98,4.19,2.78,1.98,2.01,4.63,caribbean,F
2,244929,18.01,6.6,6.46,4.19,9.13,2.78,3.92,1.66,6.46,13.6,7.04,4.01,2.66,1.78,2.02,4.52,caribbean,M
3,244928,17.69,6.4,6.38,4.19,8.89,2.53,4.08,1.63,6.34,13.34,6.84,3.83,2.71,1.88,1.75,4.42,caribbean,M
4,244923,17.95,6.36,6.31,4.19,9.49,2.61,3.94,1.622,6.54,13.95,7.09,4.03,2.67,1.82,1.85,4.76,caribbean,F
5,244922,18.91,6.86,6.81,4.28,9.93,2.88,4.12,1.78,6.72,14.42,7.05,4.39,3.01,1.82,2.12,5.33,caribbean,F
6,244924,18.09,6.46,6.65,4.36,9.38,2.71,4.01,1.91,6.46,13.63,6.94,3.98,2.86,1.96,1.91,5.21,caribbean,F
7,244926,18.64,6.42,6.59,4.27,9.83,2.99,3.91,2,6.57,14.06,7.21,4.08,2.87,1.93,1.99,4.87,caribbean,F
8,244927,17.97,6.63,6.67,4.39,9.39,2.85,3.49,1.55,6.59,13.5,6.95,3.75,2.67,1.9,1.95,4.72,caribbean,M
9,236700,19.01,6.87,6.78,4.24,9.43,2.95,3.97,1.97,6.72,13.69,7.35,4.17,2.95,1.84,1.82,4.54,caribbean,M
10,236701,18.12,6.56,6.92,4.3,9.29,2.89,3.83,1.81,6.63,13.89,7.18,3.72,2.84,1.95,1.96,4.41,caribbean,M
11,236702,18.01,6.41,6.57,4.19,9.28,2.61,3.87,1.96,6.41,13.61,6.95,3.92,2.68,1.95,1.91,5.03,caribbean,M
12,236699,18.81,6.44,6.69,4.36,9.75,2.97,4.1,2.02,6.64,13.83,7.07,3.74,2.85,2.02,1.94,5.02,caribbean,M
13,39196,19.75,8.02,7.28,4.21,10.2,3.09,4.29,1.94,7.06,15.14,7.97,4.41,3.19,2.04,2.21,4.97,caribbean,F
14,39192,19.45,7.12,7.46,4.23,9.83,3.12,4.64,1.78,7.14,15.19,7.85,4.06,2.92,2.35,2.1,4.57,caribbean,F
15,39166,19.47,7.2,7.33,4.3,9.95,2.98,4.4,2.06,7.15,15.05,7.95,4.29,2.93,1.95,2.17,5.12,caribbean,F
16,39163,19.14,7.42,7.5,4.53,9.74,2.73,4.63,2.08,7.46,15.13,7.89,4.21,2.97,2.22,2.17,4.92,caribbean,F
17,39164,19.66,7.36,7.18,4.33,10.04,2.92,4.24,2.14,7.32,15.38,8.02,4.18,3.24,2.06,2.25,5.13,caribbean,F
18,39169,19.89,7.46,7.33,4.51,10.15,3.06,4.49,1.85,7.33,14.99,8.1,4.18,3.08,1.84,2.26,5.02,caribbean,F
19,39198,18.68,7.05,6.522,4.39,9.62,2.89,4.28,1.96,7.03,14.46,7.47,3.98,2.9,2.22,1.84,5.12,caribbean,M
20,39165,19.34,7.02,7.33,4.47,9.56,2.99,4.31,1.77,6.96,14.67,7.57,4.12,2.82,2.38,2.14,5.03,caribbean,F
21,39168,19.83,7.32,7.55,4.42,9.95,3.19,4.32,1.7,7.18,15.31,7.97,4.33,3.2,1.94,2.24,5.1,caribbean,F
22,39189,18.76,6.87,6.88,4.04,9.4,2.86,4.43,1.8,7.04,14.18,7.73,3.89,2.7,1.91,1.93,4.72,caribbean,M
23,39197,19.75,7.18,7.01,4.14,9.93,2.9,4.3,2.14,7.11,15.15,7.91,4.16,2.97,2.07,2.08,5.17,caribbean,F
24,39175,18.66,6.9,6.51,4.23,9.61,2.9,4.31,1.94,6.96,14.47,7.61,3.94,2.73,1.84,1.91,4.82,caribbean,M
25,39190,18.94,7.17,6.78,4.29,9.58,2.73,4.54,1.88,7.09,14.88,7.77,4.26,2.59,1.81,1.96,4.94,caribbean,F
26,39193,19.68,7.21,6.83,4.34,10.07,3.04,4.27,1.95,7.13,15.16,7.94,4.14,2.98,1.91,2.09,5.04,caribbean,F
27,39176,19.94,7.01,7.16,4.31,10.21,3.15,4.24,1.92,7.17,15.19,8.08,4.14,2.99,1.93,2.06,4.91,caribbean,F
28,39170,20.19,7.32,7.58,4.47,10.34,2.94,4.45,1.94,7.27,15.42,7.87,4.18,3.15,1.89,2.11,4.99,caribbean,F
29,39191,20.02,7.26,7.72,4.32,9.95,3.05,4.31,1.78,7.34,15.22,8.14,4.35,3.21,1.93,2.24,5.34,caribbean,F
30,39195,19.69,7.27,7.22,4.34,9.88,2.99,4.35,1.85,7.11,14.56,7.84,4.22,2.9,1.84,2.05,5.04,caribbean,F
31,39167,18.88,6.7,7.05,4.25,9.55,2.88,4.63,1.7,6.96,14.75,7.8,4.35,3.11,2.08,2.08,5.07,caribbean,F
32,39172,18.07,6.41,6.48,4.39,9.39,2.89,3.69,1.73,6.16,13.38,6.94,3.98,2.98,2.38,1.92,4.54,caribbean,M
33,39171,17.69,6.43,6.07,4.29,9.27,2.89,4.4,1.622,6.72,13.47,7.23,3.67,2.32,2.33,1.44,4.53,caribbean,F
34,167169,17.95,6.46,6.05,3.7,8.69,2.66,3.69,1.59,6.52,13.81,7.17,4.1,2.73,1.78,1.91,4.78,caribbean,NA
35,167167,18.02,6.65,6.07,3.69,8.88,2.54,3.98,1.6,6.48,13.51,6.56,3.98,2.63,1.81,1.84,4.83,caribbean,F
36,167162,17.93,6.52,6.66,3.8,8.99,2.66,3.78,1.68,6.56,13.96,6.99,4.15,2.76,1.88,1.88,4.53,caribbean,F
37,167168,17.86,6.43,6.06,3.61,8.71,2.74,3.79,1.71,6.46,13.65,7.01,3.81,2.66,1.63,1.77,4.73,caribbean,M
38,167163,17.77,6.54,6.05,3.72,8.82,2.71,3.88,1.61,6.59,13.66,7.05,3.89,2.75,1.75,1.9,4.68,caribbean,F
39,167165,18.58,6.74,6.67,3.83,9.18,2.78,4.15,1.79,6.58,14.06,7.11,4.06,2.86,1.78,1.98,4.97,caribbean,F
40,167166,17.47,6.46,6.07,3.89,8.53,2.52,3.83,1.49,6.41,13.25,6.91,3.91,2.72,1.83,1.71,4.79,caribbean,NA
41,167164,17.77,6.24,6.14,3.67,8.56,2.61,3.77,1.73,6.32,13.38,6.75,3.95,2.75,1.86,1.79,4.78,caribbean,M
