species,lon,lat
Eptesicus fuscus miradorensis,-75.428867,5.36995
Eptesicus fuscus miradorensis,-75.494444,5.046667
Eptesicus fuscus miradorensis,-75.413333,4.833333
Eptesicus fuscus miradorensis,-92.506228,16.555406
Eptesicus fuscus miradorensis,-91.324583,17.763339
Eptesicus fuscus miradorensis,-92.280555,15.455556
Eptesicus fuscus miradorensis,-105.506667,26.446389
Eptesicus fuscus miradorensis,-104.367,23.465167
Eptesicus fuscus miradorensis,-104.507333,23.304667
Eptesicus fuscus miradorensis,-104.170833,23.34090411
Eptesicus fuscus miradorensis,-100.301804,21.6038
Eptesicus fuscus miradorensis,-75.627944,4.612333
Eptesicus fuscus miradorensis,-98.978615,19.076111
Eptesicus fuscus miradorensis,-106.0156933,25.94355945
Eptesicus fuscus miradorensis,-105.906667,25.909833
Eptesicus fuscus miradorensis,-97.449722,18.327222
Eptesicus fuscus miradorensis,-84.81446302,10.3110377
Eptesicus fuscus miradorensis,-99.066667,24.316667
Eptesicus fuscus miradorensis,-104.516655,24.331961
Eptesicus fuscus miradorensis,-105.725,25.032167
Eptesicus fuscus miradorensis,-104.516358,24.915003
Eptesicus fuscus miradorensis,-99.335833,22.768611
Eptesicus fuscus miradorensis,-99.335833,22.935278
Eptesicus fuscus miradorensis,-103.221667,18.825
Eptesicus fuscus miradorensis,-99.340278,18.975278
Eptesicus fuscus miradorensis,-99.238889,23.116944
Eptesicus fuscus miradorensis,-94.135833,16.377222
Eptesicus fuscus miradorensis,-103.18528,20.499166
Eptesicus fuscus miradorensis,-99.515,21.237778
Eptesicus fuscus miradorensis,-97.025,18.175
Eptesicus fuscus miradorensis,-103.839447,21.901388
Eptesicus fuscus miradorensis,-103.729446,21.911388
Eptesicus fuscus miradorensis,-99.807222,18.366944
Eptesicus fuscus miradorensis,-99.781944,19.019444
Eptesicus fuscus miradorensis,-84.11639521,10.06779505
Eptesicus fuscus miradorensis,-103.509163,19.578056
Eptesicus fuscus miradorensis,-103.575279,20.353889
Eptesicus fuscus miradorensis,-96.985555,19.175
Eptesicus fuscus miradorensis,-98.069504,19.182301
Eptesicus fuscus miradorensis,-97.90424622,18.73510133
Eptesicus fuscus miradorensis,-101.21083,22.309166
Eptesicus fuscus miradorensis,-99.239998,21.004999
Eptesicus fuscus miradorensis,-98.96017839,21.37286154
Eptesicus fuscus miradorensis,-99.737957,21.208383
Eptesicus fuscus miradorensis,-96.727402,17.229999
Eptesicus fuscus miradorensis,-99.175552,18.881666
Eptesicus fuscus miradorensis,-100.269447,19.327778
Eptesicus fuscus miradorensis,-100.102667,20.818833
Eptesicus fuscus miradorensis,-99.606667,18.606944
Eptesicus fuscus miradorensis,-100.252222,17.341944
Eptesicus fuscus miradorensis,-98.08175361,19.69422281
Eptesicus fuscus miradorensis,-99.358887,20.583611
