species,lon,lat
Eptesicus fuscus osceola,-82.275,27.31944
Eptesicus fuscus osceola,-82.75917,30.32944
Eptesicus fuscus osceola,-81.53083,27.74556
Eptesicus fuscus osceola,-82.175,27.85
Eptesicus fuscus osceola,-82.139,29.1879
Eptesicus fuscus osceola,-82.16083,30.27556
Eptesicus fuscus osceola,-81.4367,27.4926
Eptesicus fuscus osceola,-81.6859,30.0002
Eptesicus fuscus osceola,-87.297607,30.347867
Eptesicus fuscus osceola,-82.1278,29.2786
Eptesicus fuscus osceola,-81.99916,29.063664
Eptesicus fuscus osceola,-81.36456,29.2776
Eptesicus fuscus osceola,-87.1207,30.5511
Eptesicus fuscus osceola,-81.266685,28.869167
Eptesicus fuscus osceola,-81.561494,31.27245
Eptesicus fuscus osceola,-87.213,30.4773
Eptesicus fuscus osceola,-82.9897,29.5251
Eptesicus fuscus osceola,-82.3242,29.6508
Eptesicus fuscus osceola,-80.6629,27.887
Eptesicus fuscus osceola,-80.675,28.2829
Eptesicus fuscus osceola,-80.6664,28.1856
